         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	         Alk	          Nd	          Ni	          Na	          Ca	          Al	          Si	        C(4)	          Fe	          Mg	       Hfo_s	      m_Ca+2	     m_HCO3-	 m_Hfo_sONi+	 m_Hfo_wONi+	m_Hfo_sONd+2	m_Hfo_wONd+2	Ferrihydrite	d_Ferrihydrite	  Chalcedony	d_Chalcedony	   Allo-1.64	 d_Allo-1.64	       O2(g)	     d_O2(g)	     Calcite	   d_Calcite	   si_CO2(g)	    si_O2(g)	 si_Olivine1	  k_Olivine1	 dk_Olivine1	  k_Olivine2	 dk_Olivine2	  k_Olivine3	 dk_Olivine3	  k_Olivine4	 dk_Olivine4	  k_Olivine5	 dk_Olivine5	  k_Olivine6	 dk_Olivine6	  k_Olivine7	 dk_Olivine7	k_Monazite-Nd	dk_Monazite-Nd	  k_Ni-proxy	 dk_Ni-proxy	         day	    Rate_Oli	   Rate_Oli1	   Rate_Oli2	   Rate_Oli3	   Rate_Oli4	   Rate_Oli5	   Rate_Oli6	Total_Rate_Oli	
           1	      transp	           1	       0.025	           0	           0	     7.45677	      12.819	  0.00106751	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  7.3207e-08	  5.1888e-05	  1.1058e-03	  8.9595e-07	  1.5275e-03	  2.7994e-28	  4.9488e-03	  9.5420e-04	  3.6668e-31	  7.4866e-33	  2.0384e-30	  2.8138e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8007e-06	  2.8007e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -2.7220	     -2.0000	    -11.7321	  3.6000e-03	  0.0000e+00	  9.4000e-03	  0.0000e+00	  1.7800e-02	  0.0000e+00	  2.9100e-02	  0.0000e+00	  3.0700e-02	  0.0000e+00	  2.1800e-02	  0.0000e+00	  4.5000e-03	  0.0000e+00	  1.1340e-01	  0.0000e+00	  1.1340e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           2	       0.075	           0	           0	     7.09644	     13.1793	  0.00106739	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  3.2817e-08	  5.1864e-05	  1.2026e-03	  8.9595e-07	  1.5275e-03	  2.8060e-28	  4.9518e-03	  9.6674e-04	  1.5995e-31	  3.2658e-33	  1.8922e-30	  2.6120e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8209e-06	  2.8209e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -2.3560	     -2.0000	    -13.0364	  3.6000e-03	  0.0000e+00	  9.4000e-03	  0.0000e+00	  1.7800e-02	  0.0000e+00	  2.9100e-02	  0.0000e+00	  3.0700e-02	  0.0000e+00	  2.1800e-02	  0.0000e+00	  4.5000e-03	  0.0000e+00	  1.1340e-01	  0.0000e+00	  1.1340e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           3	       0.125	           0	           0	     6.92809	     13.3477	  0.00106736	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  2.2878e-08	  5.1858e-05	  1.2798e-03	  8.9595e-07	  1.5275e-03	  5.3909e-28	  4.9525e-03	  9.7042e-04	  1.5061e-31	  3.0751e-33	  3.4557e-30	  4.7702e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8259e-06	  2.8259e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -2.1860	     -2.0000	    -13.6489	  3.6000e-03	  0.0000e+00	  9.4000e-03	  0.0000e+00	  1.7800e-02	  0.0000e+00	  2.9100e-02	  0.0000e+00	  3.0700e-02	  0.0000e+00	  2.1800e-02	  0.0000e+00	  4.5000e-03	  0.0000e+00	  1.1340e-01	  0.0000e+00	  1.1340e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           4	       0.175	           0	           0	     6.82789	     13.4479	  0.00106734	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.8601e-08	  5.1855e-05	  1.3415e-03	  8.9595e-07	  1.5275e-03	  2.8174e-28	  4.9529e-03	  9.7218e-04	  8.6189e-32	  1.7597e-33	  1.7257e-30	  2.3821e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8280e-06	  2.8280e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -2.0850	     -2.0000	    -14.0147	  3.6000e-03	  0.0000e+00	  9.4000e-03	  0.0000e+00	  1.7800e-02	  0.0000e+00	  2.9100e-02	  0.0000e+00	  3.0700e-02	  0.0000e+00	  2.1800e-02	  0.0000e+00	  4.5000e-03	  0.0000e+00	  1.1340e-01	  0.0000e+00	  1.1340e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           5	       0.225	           0	           0	     6.76433	     13.5114	  0.00106734	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.6384e-08	  5.1854e-05	  1.3884e-03	  8.9595e-07	  1.5275e-03	  2.8214e-28	  4.9530e-03	  9.7317e-04	  7.4455e-32	  1.5202e-33	  1.6765e-30	  2.3142e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8292e-06	  2.8292e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -2.0210	     -2.0000	    -14.2472	  3.6000e-03	  0.0000e+00	  9.4000e-03	  0.0000e+00	  1.7800e-02	  0.0000e+00	  2.9100e-02	  0.0000e+00	  3.0700e-02	  0.0000e+00	  2.1800e-02	  0.0000e+00	  4.5000e-03	  0.0000e+00	  1.1340e-01	  0.0000e+00	  1.1340e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           6	       0.275	           0	           0	      6.7216	     13.5541	  0.00106733	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.5081e-08	  5.1853e-05	  1.4240e-03	  8.9595e-07	  1.5275e-03	  2.8245e-28	  4.9531e-03	  9.7377e-04	  6.7480e-32	  1.3778e-33	  1.6411e-30	  2.2654e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8298e-06	  2.8298e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -1.9780	     -2.0000	    -14.4038	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           7	       0.325	           0	           0	     6.69278	      13.583	  0.00106733	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.4279e-08	  5.1852e-05	  1.4500e-03	  8.9595e-07	  1.5275e-03	  2.8268e-28	  4.9532e-03	  9.7416e-04	  6.3146e-32	  1.2893e-33	  1.6162e-30	  2.2310e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8302e-06	  2.8302e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -1.9490	     -2.0000	    -14.5095	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           8	       0.375	           0	           0	     6.67389	     13.6019	  0.00106733	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.3786e-08	  5.1852e-05	  1.4680e-03	  8.9595e-07	  1.5275e-03	  2.8284e-28	  4.9532e-03	  9.7441e-04	  6.0459e-32	  1.2344e-33	  1.5995e-30	  2.2079e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8304e-06	  2.8304e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -1.9300	     -2.0000	    -14.5788	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           9	       0.425	           0	           0	     6.65997	     13.6158	  0.00106733	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.3438e-08	  5.1852e-05	  1.4818e-03	  8.9595e-07	  1.5275e-03	  2.8296e-28	  4.9532e-03	  9.7459e-04	  5.8552e-32	  1.1955e-33	  1.5869e-30	  2.1905e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8306e-06	  2.8306e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -1.9160	     -2.0000	    -14.6299	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          10	       0.475	           0	           0	     6.65102	     13.6247	  0.00106733	  6.9379e-10	  1.7051e-09	  1.8413e-04	  5.0688e-03	  1.3221e-08	  5.1852e-05	  1.4908e-03	  8.9595e-07	  1.5275e-03	  2.8304e-28	  4.9532e-03	  9.7470e-04	  5.7358e-32	  1.1711e-33	  1.5787e-30	  2.1792e-32	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.8307e-06	  2.8307e-06	  1.0000e+02	 -4.4241e-04	  0.0000e+00	  0.0000e+00	     -1.9070	     -2.0000	    -14.6628	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
