         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	           N	          Na	          Ca	          Mg	           K	          Al	          Si	          Fe	          Mn	          Sr	          Ba	           P	        C(4)	       Hfo_s	       Hfo_w	      m_CaX2	        m_KX	      m_MgX2	       m_NaX	      m_FeX2	      m_MnX2	      m_SrX2	      m_AlX3	      m_BaX2	m_Hfo_wH2PO4	m_Hfo_wHPO4-	  Al(OH)3(a)	d_Al(OH)3(a)	     Calcite	   d_Calcite	     SiO2(a)	   d_SiO2(a)	    Gibbsite	  d_Gibbsite	    Goethite	  d_Goethite	   Kaolinite	 d_Kaolinite	  Fe(OH)3(a)	d_Fe(OH)3(a)	  Pyrolusite	d_Pyrolusite	si_Al(OH)3(a)	  si_Calcite	  si_SiO2(a)	 si_Gibbsite	si_Fe(OH)3(a)	si_Pyrolusite	si_Kaolinite	   si_Quartz	si_Plagioclase	  si_Apatite	si_Diopside_Mn	 si_Diopside	  si_Olivine	si_Alkali-feldspar	si_Montmorillonite	 si_Ilmenite	    si_Glass	    k_Quartz	   dk_Quartz	k_Plagioclase	dk_Plagioclase	   k_Apatite	  dk_Apatite	k_Diopside_Mn	dk_Diopside_Mn	  k_Diopside	 dk_Diopside	   k_Olivine	  dk_Olivine	k_Alkali-feldspar	dk_Alkali-feldspar	k_Montmorillonite	dk_Montmorillonite	  k_Ilmenite	 dk_Ilmenite	     k_Glass	    dk_Glass	k_MikeSorghum	dk_MikeSorghum	    SurfH_Ca	    SurfH_Mg	     SurfH_H	     Hfo_PO4
1	      i_soln	0	-99	-99	-99	8.1	4	4.64E-04	1.80E-04	8.04E-04	6.14E-05	2.01E-05	1.83E-06	5.54E-05	4.83E-06	3.34E-08	9.76E-07	5.47E-06	0.00E+00	1.16E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-1.9983	0.0681	-1.5532	0.6917	2.2776	-8.7274	1.6384	-0.2846	0.4623	-999.999	-5.3464	-17.3529	-12.452	-1.0596	-8.6699	-7.3745	-7.1286	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1	      i_soln	1	-99	-99	-99	8.1	4	4.64E-04	1.80E-04	8.04E-04	6.14E-05	2.01E-05	1.83E-06	5.54E-05	4.83E-06	3.34E-08	9.76E-07	5.47E-06	0.00E+00	1.16E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-1.9983	0.0681	-1.5532	0.6917	2.2776	-8.7274	1.6384	-0.2846	0.4623	-999.999	-5.3464	-17.3529	-12.452	-1.0596	-8.6699	-7.3745	-7.1286	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1	       react	0	-99	0	1	7.73951	11.307	4.64E-04	1.80E-04	1.08E-03	6.14E-05	2.01E-05	1.84E-06	5.54E-05	2.58E-08	1.14E-12	9.76E-07	5.47E-06	0.00E+00	1.78E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.11E-03	-2.80E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.80E-06	4.80E-06	3.34E-08	3.34E-08	-1.6436	0	-1.5484	1.0464	0	0	2.3574	-0.2798	0.5225	-999.999	0.8007	-18.2497	-22.0655	-1.0509	-16.6394	-14.7309	-6.8484	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2	      i_exch	1	-99	-99	-99	8.1	4	4.64E-04	1.80E-04	8.04E-04	6.14E-05	2.01E-05	1.83E-06	5.54E-05	4.83E-06	3.34E-08	9.76E-07	5.47E-06	0.00E+00	1.16E-03	0.00E+00	0.00E+00	9.13E-01	2.70E-03	4.40E-02	4.82E-03	4.94E-06	1.37E-05	1.43E-03	4.10E-12	7.98E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-1.9983	0.0681	-1.5532	0.6917	2.2776	-8.7274	1.6384	-0.2846	0.4623	-999.999	-5.3464	-17.3529	-12.452	-1.0596	-8.6699	-7.3745	-7.1286	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
3	      i_surf	1	-99	-99	-99	8.1	4	4.64E-04	1.80E-04	8.04E-04	6.14E-05	2.01E-05	1.83E-06	5.54E-05	4.83E-06	3.34E-08	9.76E-07	5.47E-06	0.00E+00	1.16E-03	2.49E-03	9.70E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-1.9983	0.0681	-1.5532	0.6917	2.2776	-8.7274	1.6384	-0.2846	0.4623	-999.999	-5.3464	-17.3529	-12.452	-1.0596	-8.6699	-7.3745	-7.1286	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.35E-02	1.31E-03	8.05E-02	0.00E+00
1	      transp	1	0.025	0	0	7.75014	11.3112	4.15E-04	2.02E-04	1.03E-03	8.04E-05	2.26E-05	1.64E-06	5.50E-05	2.57E-08	1.03E-12	1.25E-06	6.99E-06	0.00E+00	1.82E-03	2.49E-03	9.70E-02	9.12E-01	2.69E-03	4.50E-02	4.77E-03	1.14E-14	3.51E-10	1.43E-03	6.59E-11	7.95E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.19E-02	3.55E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.06E-04	3.06E-04	3.60E-05	3.60E-05	-1.7021	0	-1.5512	0.9879	0	0	2.2349	-0.2825	0.4579	-999.999	0.94	-18.1914	-21.9368	-1.0602	-16.7853	-14.7398	-6.844	1.47E-02	0.00E+00	2.60E-01	0.00E+00	1.11E-02	0.00E+00	5.87E-02	0.00E+00	4.09E-02	0.00E+00	1.17E-02	0.00E+00	1.71E-01	0.00E+00	4.44E-03	0.00E+00	7.38E-03	0.00E+00	5.03E-01	0.00E+00	0.00E+00	0.00E+00	1.69E-02	9.82E-04	9.69E-02	0.00E+00
1	      transp	2	0.075	0	0	7.52319	11.5751	3.79E-04	2.23E-04	1.30E-03	1.02E-04	2.51E-05	1.49E-06	5.49E-05	2.75E-08	2.51E-12	1.57E-06	8.75E-06	0.00E+00	2.58E-03	2.49E-03	9.71E-02	9.12E-01	2.66E-03	4.51E-02	4.70E-03	2.43E-14	6.87E-10	1.42E-03	3.56E-10	7.90E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.14E-03	-1.25E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.06E-04	3.06E-04	3.60E-05	3.60E-05	-1.5245	0	-1.5504	1.1655	0	0	2.5917	-0.2817	0.4498	-999.999	0.3101	-18.7049	-22.351	-1.0663	-16.6907	-14.7619	-6.884	1.47E-02	0.00E+00	2.60E-01	0.00E+00	1.11E-02	0.00E+00	5.87E-02	0.00E+00	4.09E-02	0.00E+00	1.17E-02	0.00E+00	1.71E-01	0.00E+00	4.44E-03	0.00E+00	7.38E-03	0.00E+00	5.03E-01	0.00E+00	0.00E+00	0.00E+00	1.36E-02	8.00E-04	1.06E-01	0.00E+00
1	      transp	3	0.125	0	0	7.41643	11.6991	3.64E-04	2.33E-04	1.46E-03	1.14E-04	2.65E-05	1.42E-06	5.49E-05	2.88E-08	3.84E-12	1.76E-06	9.79E-06	0.00E+00	3.05E-03	2.49E-03	9.71E-02	9.12E-01	2.65E-03	4.49E-02	4.65E-03	3.46E-14	9.38E-10	1.41E-03	7.75E-10	7.87E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.80E-03	-5.59E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.06E-04	3.06E-04	3.60E-05	3.60E-05	-1.4436	0	-1.5501	1.2464	0	0	2.7542	-0.2814	0.4429	-999.999	0.0161	-18.9455	-22.5451	-1.0717	-16.6503	-14.7722	-6.9033	1.47E-02	0.00E+00	2.60E-01	0.00E+00	1.11E-02	0.00E+00	5.87E-02	0.00E+00	4.09E-02	0.00E+00	1.17E-02	0.00E+00	1.71E-01	0.00E+00	4.44E-03	0.00E+00	7.38E-03	0.00E+00	5.03E-01	0.00E+00	0.00E+00	0.00E+00	1.23E-02	7.26E-04	1.10E-01	0.00E+00
1	      transp	4	0.175	0	0	7.35003	11.7765	3.55E-04	2.40E-04	1.56E-03	1.21E-04	2.72E-05	1.38E-06	5.49E-05	2.99E-08	5.00E-12	1.88E-06	1.04E-05	0.00E+00	3.35E-03	2.49E-03	9.71E-02	9.12E-01	2.64E-03	4.48E-02	4.62E-03	4.32E-14	1.14E-09	1.41E-03	1.27E-09	7.85E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-8.39E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.06E-04	3.06E-04	3.60E-05	3.60E-05	-1.3933	-0.0073	-1.5499	1.2967	0	0	2.855	-0.2813	0.4366	-999.999	-0.1713	-19.0997	-22.6689	-1.0766	-16.6274	-14.7788	-6.916	1.47E-02	0.00E+00	2.60E-01	0.00E+00	1.11E-02	0.00E+00	5.87E-02	0.00E+00	4.09E-02	0.00E+00	1.17E-02	0.00E+00	1.71E-01	0.00E+00	4.44E-03	0.00E+00	7.38E-03	0.00E+00	5.03E-01	0.00E+00	0.00E+00	0.00E+00	1.16E-02	6.85E-04	1.12E-01	0.00E+00
1	      transp	5	0.225	0	0	7.29866	11.8372	3.51E-04	2.42E-04	1.60E-03	1.25E-04	2.75E-05	1.36E-06	5.49E-05	3.09E-08	6.04E-12	1.92E-06	1.07E-05	0.00E+00	3.48E-03	2.49E-03	9.71E-02	9.11E-01	2.63E-03	4.49E-02	4.61E-03	5.25E-14	1.36E-09	1.41E-03	1.93E-09	7.84E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-8.39E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.05E-04	3.05E-04	3.60E-05	3.60E-05	-1.3518	-0.0372	-1.5498	1.3382	0	0	2.9383	-0.2812	0.4286	-999.999	-0.3331	-19.234	-22.7751	-1.0819	-16.6114	-14.7844	-6.9272	1.47E-02	0.00E+00	2.60E-01	0.00E+00	1.11E-02	0.00E+00	5.87E-02	0.00E+00	4.09E-02	0.00E+00	1.17E-02	0.00E+00	1.71E-01	0.00E+00	4.44E-03	0.00E+00	7.38E-03	0.00E+00	5.03E-01	0.00E+00	0.00E+00	0.00E+00	1.12E-02	6.60E-04	1.14E-01	0.00E+00
